code	in_dalarna_excel	in_blomma_json	in_vault
GJP243	1	1	1
GJP2MZ	1	1	1
GJP2N2	1	1	1
GJP37U	1	1	1
GJP37V	1	1	1
GJP37W	1	1	1
GJP39V	1	1	1
GJP39W	1	1	1
GJP39X	1	1	1
GJP3AY	1	1	1
GJP3AZ	1	1	1
GJP3B2	1	1	1
GJP3B3	1	1	1
GKG2CS	1	1	1
GKG3A3	1	1	1
GKG3AT	1	1	1
GKI27G	1	1	1
GKI27H	1	1	1
GKI27M	1	1	1
GKI2HT	1	1	1
GKI2MY	1	1	1
GKI2PX	1	1	1
GKI2PY	1	1	1
GKI2PZ	1	1	1
GKI2Q2	1	1	1
GKI2Q9	1	1	1
GKI2QA	1	1	1
GKI2VL	1	1	1
GKI2VM	1	1	1
GKI2W3	1	1	1
GKI3C8	1	1	1
GKI3C9	1	1	1
GKI3CA	1	1	1
GKI3CB	1	1	1
GKI3CC	1	1	1
GKI3CD	1	1	1
GKI3CE	1	1	1
GKI3GQ	1	1	1
GLP234	1	1	1
GLP235	1	1	1
GLP236	1	1	1
GLP239	1	1	1
GLP23A	1	1	1
GLP23B	1	1	1
GLP29R	1	1	1
GLP29S	1	1	1
GLP29T	1	1	1
GLP29U	1	1	1
GLP29V	1	1	1
GLP29W	1	1	1
GLP29X	1	1	1
GLP2BQ	1	1	1
GLP2CX	1	1	1
GLP2FH	1	1	1
GLP2FP	1	1	1
GLP2FZ	1	1	1
GLP2JZ	1	1	1
GLP2KH	1	1	1
GLP2MS	1	1	1
GLP2MU	1	1	1
GLP2NK	1	1	1
GLP2NL	1	1	1
GLP2NN	1	1	1
GLP2QC	1	1	1
GLP2QD	1	1	1
GLP2QU	1	1	1
GLP2QX	1	1	1
GLP2RK	1	1	1
GLP2UG	1	1	1
GLP2VS	1	1	1
GLP2VT	1	1	1
GLP2WB	1	1	1
GLP2WC	1	1	1
GLP2WP	1	1	1
GLP32S	1	1	1
GLP33C	1	1	1
GLP359	1	1	1
GLP3AH	1	1	1
GLP3AR	1	1	1
GMA28W	1	1	1
GMA2EY	1	1	1
GMA2ZS	1	1	1
GMA2ZT	1	1	1
GMA33Z	1	1	1
GMC22H	1	1	1
GMC2AH	1	1	1
GMC2M2	1	1	1
GMC32X	1	1	1
GMC37E	1	1	1
GMC37F	1	1	1
GMC37T	1	1	1
GMD2AR	1	1	1
GMD2BH	1	1	1
GMD2EP	0	1	0
GMD2EX	1	1	1
GMD2F9	0	1	0
GMD2FA	0	1	0
GMD2GE	0	1	0
GMD2GF	1	1	1
GMD2GG	1	1	1
GMD2GU	1	1	1
GMD2H2	1	1	1
GMD2H3	1	1	1
GMD2H4	1	1	1
GMD2H5	1	1	1
GMD2HE	1	1	1
GMD2HF	1	1	1
GMD2HG	1	1	1
GMD2HH	1	1	1
GMD2HJ	1	1	1
GMD2HK	1	1	1
GMD2MG	0	1	0
GMD2MH	1	1	1
GMD2MJ	1	1	1
GMD2PA	1	1	1
GMD2SB	0	1	0
GMD2TV	1	1	1
GMD2XQ	1	1	1
GMD33X	1	1	1
GMD33Y	1	1	1
GMD3FX	1	1	1
GMD3GZ	1	1	1
GMD3K4	0	0	1
GMI23G	1	1	1
GMI24H	1	1	1
GMI26H	1	1	1
GMI2C8	1	1	1
GMI2J3	1	1	1
GMI2MD	1	1	1
GMI2NW	1	1	1
GMI35R	1	1	1
GMI35S	1	1	1
GMN3DY	1	1	1
GMN3DZ	1	1	1
GMN3E2	1	1	1
GMN3E3	1	1	1
GMN3E4	1	1	1
GMN3E9	1	1	1
GMN3EA	1	1	1
GMN3EB	1	1	1
GMN3EC	1	1	1
GMN3ED	1	1	1
GMN3EE	1	1	1
GMN3EF	1	1	1
GMN3EG	1	1	1
GMN3EH	1	1	1
GMN3EJ	1	1	1
GMN3EK	1	1	1
GMN3EL	1	1	1
GMN3EM	1	1	1
GMN3EN	1	1	1
GMN3EP	1	1	1
