kurskod,kursnamn,institution,amne,i_dalarna_excel_kurser,i_dalarna_excel_forskar,i_blomma_json,i_vault_aktiva,i_vault_nedlagda,kategori
IT1010,,,,0,0,0,0,1,enbart_nedlagd
IT1011,,,,0,0,0,0,1,enbart_nedlagd
IT1012,,,,0,0,0,0,1,enbart_nedlagd
IT1013,,,,0,0,0,0,1,enbart_nedlagd
IT1014,,,,0,0,0,0,1,enbart_nedlagd
IT1015,,,,0,0,0,0,1,enbart_nedlagd
IT1016,,,,0,0,0,0,1,enbart_nedlagd
IT1017,,,,0,0,0,0,1,enbart_nedlagd
IT1018,,,,0,0,0,0,1,enbart_nedlagd
IT1019,,,,0,0,0,0,1,enbart_nedlagd
IT1020,,,,0,0,0,0,1,enbart_nedlagd
IT1021,,,,0,0,0,0,1,enbart_nedlagd
IT1022,,,,0,0,0,0,1,enbart_nedlagd
IT1023,,,,0,0,0,0,1,enbart_nedlagd
IT1024,,,,0,0,0,0,1,enbart_nedlagd
IT1025,,,,0,0,0,0,1,enbart_nedlagd
IT1026,,,,0,0,0,0,1,enbart_nedlagd
IT1027,,,,0,0,0,0,1,enbart_nedlagd
IT1028,,,,0,0,0,0,1,enbart_nedlagd
IT1029,,,,0,0,0,0,1,enbart_nedlagd
IT1030,,,,0,0,0,0,1,enbart_nedlagd
IT1031,,,,0,0,0,0,1,enbart_nedlagd
IT1032,,,,0,0,0,0,1,enbart_nedlagd
IT1033,,,,0,0,0,0,1,enbart_nedlagd
IT1034,Italienska: Nybörjarkurs II,ISLL,ITA,1,0,1,1,0,triangulerad
IT2001,,,,0,0,0,0,1,enbart_nedlagd
IT2002,,,,0,0,0,0,1,enbart_nedlagd
IT2003,,,,0,0,0,0,1,enbart_nedlagd
IT2004,,,,0,0,0,0,1,enbart_nedlagd
IT2005,,,,0,0,0,0,1,enbart_nedlagd
IT2006,,,,0,0,0,0,1,enbart_nedlagd
IT2007,,,,0,0,0,0,1,enbart_nedlagd
IT2008,,,,0,0,0,0,1,enbart_nedlagd
ITA005,,,,0,0,0,0,1,enbart_nedlagd
ITA010,,,,0,0,0,0,1,enbart_nedlagd
ITA012,,,,0,0,0,0,1,enbart_nedlagd
ITA013,,,,0,0,0,0,1,enbart_nedlagd
ITA014,,,,0,0,0,0,1,enbart_nedlagd
ITA015,,,,0,0,0,0,1,enbart_nedlagd
ITA016,,,,0,0,0,0,1,enbart_nedlagd
ITA017,,,,0,0,0,0,1,enbart_nedlagd
ITA018,,,,0,0,0,0,1,enbart_nedlagd
ITB001,,,,0,0,0,0,1,enbart_nedlagd
ITC002,,,,0,0,0,0,1,enbart_nedlagd
ITD001,,,,0,0,0,0,1,enbart_nedlagd
ITX003,,,,0,0,0,0,1,enbart_nedlagd
ITX004,,,,0,0,0,0,1,enbart_nedlagd
IXA013,,,,0,0,0,0,1,enbart_nedlagd
IXB009,,,,0,0,0,0,1,enbart_nedlagd
IXB011,,,,0,0,0,0,1,enbart_nedlagd
IXB016,,,,0,0,0,0,1,enbart_nedlagd
IXC006,,,,0,0,0,0,1,enbart_nedlagd
IXC011,,,,0,0,0,0,1,enbart_nedlagd
IXC013,,,,0,0,0,0,1,enbart_nedlagd
IXC014,,,,0,0,0,0,1,enbart_nedlagd
JP0001,,,,0,0,0,0,1,enbart_nedlagd
JP0002,,,,0,0,0,0,1,enbart_nedlagd
JP0003,,,,0,0,0,0,1,enbart_nedlagd
JP1001,,,,0,0,0,0,1,enbart_nedlagd
JP1002,,,,0,0,0,0,1,enbart_nedlagd
JP1003,,,,0,0,0,0,1,enbart_nedlagd
JP1004,,,,0,0,0,0,1,enbart_nedlagd
JP1005,,,,0,0,0,0,1,enbart_nedlagd
JP1006,,,,0,0,0,0,1,enbart_nedlagd
JP1007,,,,0,0,0,0,1,enbart_nedlagd
JP1008,,,,0,0,0,0,1,enbart_nedlagd
JP1009,,,,0,0,0,0,1,enbart_nedlagd
JP1010,,,,0,0,0,0,1,enbart_nedlagd
JP1011,,,,0,0,0,0,1,enbart_nedlagd
JP1012,,,,0,0,0,0,1,enbart_nedlagd
JP1013,,,,0,0,0,0,1,enbart_nedlagd
JP1014,,,,0,0,0,0,1,enbart_nedlagd
JP1015,,,,0,0,0,0,1,enbart_nedlagd
JP1016,,,,0,0,0,0,1,enbart_nedlagd
JP1017,,,,0,0,0,0,1,enbart_nedlagd
JP1019,,,,0,0,0,0,1,enbart_nedlagd
JP1020,,,,0,0,0,0,1,enbart_nedlagd
JP1021,,,,0,0,0,0,1,enbart_nedlagd
JP1022,,,,0,0,0,0,1,enbart_nedlagd
JP1023,,,,0,0,0,0,1,enbart_nedlagd
JP1024,,,,0,0,0,0,1,enbart_nedlagd
JP1025,,,,0,0,0,0,1,enbart_nedlagd
JP1026,,,,0,0,0,0,1,enbart_nedlagd
JP1027,,,,0,0,0,0,1,enbart_nedlagd
JP1028,,,,0,0,0,0,1,enbart_nedlagd
JP1029,,,,0,0,0,0,1,enbart_nedlagd
JP1030,,,,0,0,0,0,1,enbart_nedlagd
JP1031,,,,0,0,0,0,1,enbart_nedlagd
JP1032,,,,0,0,0,0,1,enbart_nedlagd
JP1033,,,,0,0,0,0,1,enbart_nedlagd
JP1034,,,,0,0,1,0,1,blomma_historik_arkiverad
JP1035,,,,0,0,1,0,1,blomma_historik_arkiverad
JP1036,,,,0,0,1,0,1,blomma_historik_arkiverad
JP1037,,,,0,0,1,0,1,blomma_historik_arkiverad
JP1038,,,,0,0,0,0,1,enbart_nedlagd
JP1039,,,,0,0,0,0,1,enbart_nedlagd
JP1040,,,,0,0,0,0,1,enbart_nedlagd
JP1041,,,,0,0,1,0,1,blomma_historik_arkiverad
JP1042,,,,0,0,0,0,1,enbart_nedlagd
JP1043,,,,0,0,1,0,1,blomma_historik_arkiverad
JP1044,,,,0,0,0,0,1,enbart_nedlagd
JP1045,Att kommunicera på japanskt vis,ISLL,JAA,1,0,1,1,0,triangulerad
JP1046,Att göra affärer i Japan,ISLL,JAA,1,0,1,1,0,triangulerad
JP1047,,,,0,0,0,0,1,enbart_nedlagd
JP1048,,,,0,0,0,0,1,enbart_nedlagd
JP1049,,,,0,0,0,0,1,enbart_nedlagd
JP1050,Japanska I: Grundläggande språkfärdighet,ISLL,JAA,1,0,1,1,0,triangulerad
JP1051,,,,0,0,0,0,1,enbart_nedlagd
JP2001,,,,0,0,0,0,1,enbart_nedlagd
JP2002,,,,0,0,0,0,1,enbart_nedlagd
JP2003,,,,0,0,0,0,1,enbart_nedlagd
JP2004,,,,0,0,1,0,1,blomma_historik_arkiverad
JP2005,,,,0,0,0,0,1,enbart_nedlagd
