Utbildningsområde per kurs (Ladok);;;;;;
Uppdaterad tisdag 3 mars 2026;;;;;;
Kurskod;Kursnamn;HP;Utbildningsområde;UtbOmrKod;Andel (%);Giltig fr.o.m.
APG2AA;Lärarskicklighet - utveckling av lärarskicklighet i förskola och skola utifrån forskning;7,5;Undervisningsområdet;LU;100;HT2023
APG2AB;Bedömning och betygssättning för ämneslärare årskurs 7-9 - AIL;7,5;Undervisningsområdet;LU;100;VT2024
APG2AC;Rektors pedagogiska ledarskap med fokus på förskolans utbildningsuppdrag;7,5;Undervisningsområdet;LU;100;VT2024
APG2AJ;Verksamhetsförlagd utbildning för lärare - VAL;7,5;Verksamhetsförlagd utbildning;VU;100;VT2024
APG2BC;Professionellt lärarskap och skolutveckling - KPU (varav 10 hp VFU);15;Undervisningsområdet;LU;33;VT2025
APG2BC;Professionellt lärarskap och skolutveckling - KPU (varav 10 hp VFU);15;Verksamhetsförlagd utbildning;VU;67;VT2025
APG2BF;Att främja en professionsdriven verksamhetsutveckling i förskola, skola och fritidshem;7,5;Undervisningsområdet;LU;100;VT2025
APG2BK;Verksamhetsförlagd utbildning 3 - VAL;7,5;Verksamhetsförlagd utbildning;VU;100;VT2025
APG2C3;Vidareutveckling och analys av kvalitet i undervisning;7,5;Undervisningsområdet;LU;100;HT2025
APG2C6;Specialpedagogik, pedagogisk dokumentation och bedömning för grundlärare F-3;7,5;Undervisningsområdet;LU;100;HT2025
APG2C7;Specialpedagogik, pedagogisk dokumentation och bedömning för grundlärare 4-6;7,5;Undervisningsområdet;LU;100;HT2025
APG2CC;Mentorsutbildning för en kvalitativ introduktionsperiod;7,5;Undervisningsområdet;LU;100;VT2026
AR1003;Den moderna arabiska novellen;7,5;Humanistiska området;HU;100;HT2018
AR1004;Arabiska dialekter med inriktning på den Syriska;7,5;Humanistiska området;HU;100;HT2008
AR1007;Arabiska dialekter med inriktning på den syriska II;7,5;Humanistiska området;HU;100;VT2009
AR1009;Arabiska dialekter: Syriska III;7,5;Humanistiska området;HU;100;VT2010
AR1012;Arabiska dialekter: Syriska IV;7,5;Humanistiska området;HU;100;VT2011
AR1018;Arabiska för nybörjare I;15;Humanistiska området;HU;100;HT2018
AR1025;Arabiska VI - muntlig kommunikation;15;Humanistiska området;HU;100;HT2013
AR2001;Arabiska VIII;15;Humanistiska området;HU;100;HT2011
AR2006;Arabiska: Avancerad grammatik II;7,5;Humanistiska området;HU;100;VT2015
AR2007;Det egna jaget och den andre - gestaltning i arabisk litteratur;7,5;Humanistiska området;HU;100;HT2015
AR2009;Modern arabisk litteratur och sökandet efter frihet;7,5;Humanistiska området;HU;100;HT2018
AR2010;Arabiska: Avancerad grammatik;7,5;Humanistiska området;HU;100;HT2018
AR2011;Den arabiska akademiska kanon;7,5;Humanistiska området;HU;100;HT2018
AR2012;Arabiska: Kandidatexamensarbete;15;Humanistiska området;HU;100;HT2018
ARK227;Mänskliga rättigheter och demokrati i Afrika söder om Sahara;7,5;Humanistiska området;HU;100;HT2018
ARK25B;Examensarbete i religionsvetenskap  för ämneslärarexamen, inriktning grundskolans årskurs 7-9;30;Humanistiska området;HU;75;VT2020
ARK25B;Examensarbete i religionsvetenskap  för ämneslärarexamen, inriktning grundskolans årskurs 7-9;30;Undervisningsområdet;LU;25;VT2020
ARK25C;Examensarbete i religionsvetenskap för ämneslärarexamen, inriktning gymnasieskolan;30;Humanistiska området;HU;75;VT2020
ARK25C;Examensarbete i religionsvetenskap för ämneslärarexamen, inriktning gymnasieskolan;30;Undervisningsområdet;LU;25;VT2020
ARK262;Religion och våld i samtiden;7,5;Humanistiska området;HU;100;HT2020
ARK26T;Kabbala och judisk mystik från antiken till modern tid;7,5;Humanistiska området;HU;100;VT2021
ARK27Q;Kvinnor och gudinnor på gränsen till den äldsta förhistorien;7,5;Humanistiska området;HU;100;VT2022
ARK29H;Religionsvetenskaplig litteraturkurs;7,5;Humanistiska området;HU;100;HT2023
ARK29J;Religionsvetenskaplig vetenskapshistoria, teori och metod;7,5;Humanistiska området;HU;100;HT2023
ARK29K;Upplevelser av osynlig närvaro;7,5;Humanistiska området;HU;100;HT2023
ARK29L;Religionssociologiska perspektiv på barn och unga i slutna religiösa miljöer;7,5;Humanistiska området;HU;100;HT2023
ARK29M;Examensarbete, magisterexamen i religionsvetenskap;15;Humanistiska området;HU;100;HT2023
ARY23F;Ryska VI: Stalintidens ideologi och estetik;10;Humanistiska området;HU;100;HT2019
ARY25M;Ryska VI: Det virtuella Ryssland: politik, språk och nya medier;10;Humanistiska området;HU;100;VT2020
AS2001;Afrikanska studier: Utbildning och förändring i afrikanska samhällen;8;Humanistiska området;HU;100;HT2014
AS2002;Afrikanska studier: Afrikanska samhällen i förändring;12;Humanistiska området;HU;100;HT2014
AS2003;Afrikanska studier: Religion och politik i afrikanska samhällen;9;Humanistiska området;HU;100;HT2014
AS2004;Afrikanska studier: Utbildning och förändring i afrikanska samhällen;8;Humanistiska området;HU;100;HT2018
AS2005;Afrikanska studier: Afrikanska samhällen i förändring;12;Humanistiska området;HU;100;HT2018
AS2006;Afrikanska studier: Religion och politik i afrikanska samhällen;9;Humanistiska området;HU;100;HT2018
AS3001;Afrikanska studier: Utbildning och förändring i afrikanska samhällen;8;Humanistiska området;HU;100;HT2014
AS3002;Afrikanska studier: Afrikanska samhällen i förändring;12;Humanistiska området;HU;100;HT2014
AS3003;Afrikanska studier: Religion och politik i afrikanska samhällen;9;Humanistiska området;HU;100;HT2014
AS3004;Afrikanska studier: Forskningsprojektets planering;1;Humanistiska området;HU;100;HT2015
AS3005;Afrikanska studier: Examensarbete för magisterexamen;15;Humanistiska området;HU;100;HT2020
AS3006;Afrikanska studier: Internationell hälsa med fokus på nutrition i ett genus- och ekonomiskt perspektiv;7;Humanistiska området;HU;100;HT2015
AS3007;Afrikanska studier: Mänskliga rättigheter och demokrati i Afrika söder om Sahara;7;Humanistiska området;HU;100;HT2015
AS3008;Afrikanska studier: Islam och islamiska samhällen i Afrika;7;Humanistiska området;HU;100;HT2015
AS3009;Afrikanska studier: Litteratur och politik i det samtida Afrika;7;Humanistiska området;HU;100;HT2015
AS3010;Afrikanska studier: Det urbana rummet och urbaniseringspolitik i Afrika söder om Sahara;7;Humanistiska området;HU;100;HT2015
AS3011;Afrikanska studier: Ekonomisk utveckling i Afrika, en introduktion;7;Humanistiska området;HU;100;HT2015
AS3012;Afrikanska studier: Den vidareutvecklade forskningsplanen;1;Humanistiska området;HU;100;HT2015
AS3013;Afrikanska studier: Examensarbete för magisterexamen;15;Humanistiska området;HU;100;HT2018
AS3014;Afrikanska studier: Internationell hälsa med fokus på nutrition i ett genus- och ekonomiskt perspektiv;7;Humanistiska området;HU;100;HT2017
AS3015;Afrikanska studier: Mänskliga rättigheter och demokrati i Afrika söder om Sahara;7;Humanistiska området;HU;100;HT2018
AS3016;Afrikanska studier: Islam och islamiska samhällen i Afrika;7;Humanistiska området;HU;100;HT2018
AS3017;Afrikanska studier: Litteratur och politik i det samtida Afrika;7;Humanistiska området;HU;100;HT2018
AS3018;Afrikanska studier: Det urbana rummet och urbaniseringspolitik i Afrika söder om Sahara;7;Humanistiska området;HU;100;HT2018
AS3019;Afrikanska studier: Ekonomisk utveckling i Afrika, en introduktion;7;Humanistiska området;HU;100;HT2018
AS3020;Afrikanska studier: Den vidareutvecklade forskningsplanen;1;Humanistiska området;HU;100;HT2018
AS3021;Afrikanska studier: Utbildning och förändring i afrikanska samhällen;8;Humanistiska området;HU;100;HT2018
AS3022;Afrikanska studier: Afrikanska samhällen i förändring;12;Humanistiska området;HU;100;HT2018
AS3023;Afrikanska studier: Religion och politik i afrikanska samhällen;9;Humanistiska området;HU;100;HT2018
AS3024;Afrikanska studier: Forskningsprojektets planering;1;Humanistiska området;HU;100;HT2018
AS4001;Afrikanska studier: Litteraturkurs;7;Humanistiska området;HU;100;VT2016
AS4002;Afrikanska studier: Aktuella utmaningar inom Afrikanska studier;7;Humanistiska området;HU;100;VT2016
AS4003;Afrikanska studier: Teori och metod;16;Humanistiska området;HU;100;VT2016
AS4004;Afrikanska studier: Examensarbete för masterexamen;30;Humanistiska området;HU;100;HT2020
AS4005;Afrikanska studier: Examensarbete för masterexamen;30;Humanistiska området;HU;100;VT2018
ASA24J;Ledarskap och verksamhetsutveckling i socialt arbete;7,5;Samhällsvetenskapliga området;SA;50;VT2020
